ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
97,ปี 2568,7-50130-017,โรงเรียนอนุบาลไผ่แก้ว,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลแช่ช้าง,อําเภอสันกําแพง,เชียงใหม่,50130
98,ปี 2568,7-50130-018,โรงเรียนสันกําแพง,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลทรายมูล,อําเภอสันกําแพง,เชียงใหม่,50130
99,ปี 2568,7-50130-019,โรงเรียนวัดบ้านน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
100,ปี 2568,7-50130-020,โรงเรียนทาเหนือวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลทาเหนือ,อําเภอแม่ออน,เชียงใหม่,50130
101,ปี 2568,7-50130-021,โรงเรียนบ้านผาปูน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50130
102,ปี 2568,7-50130-022,โรงเรียนวัดเปาสามขา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลออนกลาง,อําเภอแม่ออน,เชียงใหม่,50130
103,ปี 2568,7-50130-023,โรงเรียนบ้านออนหลวย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลออนเหนือ,อําเภอแม่ออน,เชียงใหม่,50130
104,ปี 2568,7-50130-024,โรงเรียนวัดสันกลางเหนือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันกลาง,อําเภอสันกําแพง,เชียงใหม่,50130
105,ปี 2568,7-50130-025,โรงเรียนออนใต้วิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลออนใต,อําเภอสันกําแพง,เชียงใหม่,50130
106,ปี 2568,7-50130-026,โรงเรียนวัดห้วยทราย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่ทา,อําเภอแม่ออน,เชียงใหม่,50130
107,ปี 2568,7-50130-027,โรงเรียนวัดดอนชัย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่ทา,อําเภอแม่ออน,เชียงใหม่,50130
108,ปี 2568,7-50130-028,โรงเรียนอนุบาลเทศบาลตําบลสันกําแพง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
109,ปี 2568,7-50130-029,โรงเรียนอนุบาลองค์การบริหาส่วนตำบลร้องวัวแดง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลร้องวัวแดง,อําเภอสันกําแพง,เชียงใหม่,50130
110,ปี 2568,7-50130-030,โรงเรียนบ้านแม่ปูคา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่ปูคา,อําเภอสันกําแพง,เชียงใหม่,50130
111,ปี 2568,7-50130-031,โรงเรียนบ้านบ่อสร้างนรากรประสาท,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลต้นเปา,อําเภอสันกําแพง,เชียงใหม่,50130
