ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
112,ปี 2568,7-50130-032,โรงเรียนวัดร้องวัวแดงศรีจันทร์วิทยาคาร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลร้องวัวแดง,อําเภอสันกําแพง,เชียงใหม่,50130
113,ปี 2568,7-50130-033,โรงเรียนบ้านกอสะเลียม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลบวกค้าง,อําเภอสันกําแพง,เชียงใหม่,50130
114,ปี 2562,7-50140-001,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอสารภี,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสารภี,อําเภอสารภี,เชียงใหม่,50140
115,ปี 2562,7-50140-002,โรงเรียนเวียงเศรษฐีวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลหนองแฝก,อําเภอสารภี,เชียงใหม่,50140
116,ปี 2565,7-50140-003,วิทยาลัยเทคนิคสารภี,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
117,ปี 2568,7-50140-004,โรงเรียนวชิราลัย,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
118,ปี 2568,7-50140-005,โรงเรียนนานาชาติยูนิตี้ คอนคอร์ด,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
119,ปี 2568,7-50140-006,โรงเรียนนานาชาติอเมริกาน่า ไซนีส,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
120,ปี 2568,7-50140-007,โรงเรียนยุวฑูตศึกษาพัฒนา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนองหอย,อําเภอสารภี,เชียงใหม่,50140
121,ปี 2568,7-50140-008,โรงเรียนอนุบาลดวงกมล,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลชมภู,อําเภอสารภี,เชียงใหม่,50140
122,ปี 2568,7-50140-009,โรงเรียนอนุบาลพิมมาลา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
123,ปี 2568,7-50140-010,โรงเรียนอนุบาลสุปราณี,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
124,ปี 2568,7-50140-011,โรงเรียนอนุบาลบ้านสวนพิมพรรณ,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
125,ปี 2568,7-50140-012,โรงเรียนอนุบาลสุรีย์วรรณ,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลไชยสถาน,อําเภอสารภี,เชียงใหม่,50140
126,ปี 2568,7-50140-013,โรงเรียนสารภีพิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
127,ปี 2568,7-50140-014,โรงเรียนอนุบาลวรานีกูล,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
128,ปี 2568,7-50140-015,โรงเรียนวัดบวกครกเหนือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลท่าวังตาล,อําเภอสารภี,เชียงใหม่,50140
129,ปี 2568,7-50140-016,โรงเรียนเทศบาลตําบลยางเนิ้ง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
130,ปี 2568,7-50140-017,โรงเรียนอนุบาลเทศบาลตําบลชมภู,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลชมภู,อําเภอสารภี,เชียงใหม่,50140
