"รายชื่อสถานศึกษา ""สวนพฤกษศาสตร์โรงเรียน"" จังหวัดเชียงใหม่",,,,,,,,
จํานวน ๖๘๕ แห่ง ข้อมูล ณ วันที่ ๒๐ มีนาคม ๒๕๖๙,,,,,,,,
ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย
111,11 ธันวาคม 2568,7-50130-031,โรงเรียนบ้านบอสรางนรากร ประสาท,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลตนเปา,อําเภอสันกําแพง,เชียงใหม่,50130
112,11 ธันวาคม 2568,7-50130-032,โรงเรียนวัดรองวัวแดงศรีจันทร์ วิทยาคาร,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลรองวัวแดง,อําเภอสันกําแพง,เชียงใหม่,50130
113,11 ธันวาคม 2568,7-50130-033,โรงเรียนบ้านกอสะเลียม,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลบวกคาง,อําเภอสันกําแพง,เชียงใหม่,50130
114,4 มิถุนายน 2562,7-50140-001,ศูนย์ส่งเสริมการเรียนรู้ ระดับอําเภอสารภี,สํานักงานส่งเสริมการเรียนรู้ ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสารภี,อําเภอสารภี,เชียงใหม่,50140
115,22 กรกฎาคม 2562,7-50140-002,โรงเรียนเวียงเศรษฐีวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 4,ตําบลหนองแฝก,อําเภอสารภี,เชียงใหม่,50140
116,20 ตุลาคม 2565,7-50140-003,วิทยาลัยเทคนิคสารภี,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
117,21 กรกฎาคม 2568,7-50140-004,โรงเรียนวชิราลัย,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
118,21 กรกฎาคม 2568,7-50140-005,โรงเรียนนานาชาติยูนิตี้ คอนคอรด,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
119,21 กรกฎาคม 2568,7-50140-006,โรงเรียนนานาชาติอเมริกานา ไซนีส,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนองผึ้ง,อําเภอสารภี,เชียงใหม่,50140
120,21 กรกฎาคม 2568,7-50140-007,โรงเรียนยุวฑูตศึกษาพัฒนา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนองหอย,อําเภอสารภี,เชียงใหม่,50140
121,21 กรกฎาคม 2568,7-50140-008,โรงเรียนอนุบาลดวงกมล,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลชมภู,อําเภอสารภี,เชียงใหม่,50140
122,21 กรกฎาคม 2568,7-50140-009,โรงเรียนอนุบาลพิมมาลา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
123,21 กรกฎาคม 2568,7-50140-010,โรงเรียนอนุบาลสุปราณี,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
124,21 กรกฎาคม 2568,7-50140-011,โรงเรียนอนุบาลบ้านสวนพิมพรรณ,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลยางเนิ้ง,อําเภอสารภี,เชียงใหม่,50140
